id_str	WorkerID_1	Label1	WorkerID_2	Label2	WorkerID_3	Label3
1197071041312501760	AI6VJYDFQ90ME	2	AXQWKUJF7SQXP	1	A3P7M9666KJCP	1
1265921303896182784	AI6VJYDFQ90ME	2	AXQWKUJF7SQXP	1	A3P7M9666KJCP	1
1231871555396919297	A16FY9L7QTDNRW	2	A3GUJ6JD25FX7O	3	A1CF6U3GF7DZEJ	4
1197261377209085953	A16FY9L7QTDNRW	2	A3GUJ6JD25FX7O	4	A1CF6U3GF7DZEJ	4
1204346095226281984	A16FY9L7QTDNRW	2	A3GUJ6JD25FX7O	1	A1CF6U3GF7DZEJ	3
1263797789982691329	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	1
1265918430558990336	A16FY9L7QTDNRW	3	A16FY9L7QTDNRW	3	A16FY9L7QTDNRW	3
1184526733741047808	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	2
1264582791779561473	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	1	A1CF6U3GF7DZEJ	1
1196328250512936960	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	4
1155445469763579904	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	4
1162254479514689537	A16FY9L7QTDNRW	2	A5BMA5POGL8DW	2	A16FY9L7QTDNRW	2
1231995318981529602	A16FY9L7QTDNRW	4	A5BMA5POGL8DW	2	A16FY9L7QTDNRW	4
1196499896691494914	A16FY9L7QTDNRW	2	A5BMA5POGL8DW	2	A16FY9L7QTDNRW	2
1263600142088900608	A16FY9L7QTDNRW	2	AM2W23THD4CI7	1	A16FY9L7QTDNRW	1
1162438776448258048	A16FY9L7QTDNRW	1	AM2W23THD4CI7	1	A16FY9L7QTDNRW	1
1264527775362408448	A16FY9L7QTDNRW	2	AM2W23THD4CI7	1	A16FY9L7QTDNRW	1
1196357042564485120	A1CF6U3GF7DZEJ	4	A16FY9L7QTDNRW	4	A3GUJ6JD25FX7O	1
1197389122693935105	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	1	A3GUJ6JD25FX7O	1
1155418131290103809	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	1	A3GUJ6JD25FX7O	1
1231355213497405440	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	4
1245387185584562176	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	2
1265948793255727104	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	2
1174665314874863617	A3GUJ6JD25FX7O	3	AYJGJAIY0EXW	4	A16FY9L7QTDNRW	3
1155381194030309376	A3GUJ6JD25FX7O	2	AYJGJAIY0EXW	2	A16FY9L7QTDNRW	2
1273582555116253189	A3GUJ6JD25FX7O	1	AYJGJAIY0EXW	2	A16FY9L7QTDNRW	2
1155498601042370561	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	3	A1Y3PSVSU557SW	2
1184497070960529410	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	2	A1Y3PSVSU557SW	1
1162404712668368896	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	3	A1Y3PSVSU557SW	4
1196378168153776128	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4	AYJGJAIY0EXW	4
1241036548197548034	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	1	AYJGJAIY0EXW	2
1231364281209245696	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	2	AYJGJAIY0EXW	5
1245606740093067264	A1CF6U3GF7DZEJ	1	AYJGJAIY0EXW	2	AWIPMIAD5U5MP	4
1196360047284105216	A1CF6U3GF7DZEJ	4	AYJGJAIY0EXW	4	AWIPMIAD5U5MP	4
1273332627152556034	A1CF6U3GF7DZEJ	3	AYJGJAIY0EXW	2	AWIPMIAD5U5MP	4
1162386119889162241	A16FY9L7QTDNRW	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	1
1197888920417132544	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	4	A16FY9L7QTDNRW	2
1240976792904744961	A16FY9L7QTDNRW	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	1
1204429861894393856	A5BMA5POGL8DW	2	A3GUJ6JD25FX7O	2	A16FY9L7QTDNRW	2
1273355086752866305	A5BMA5POGL8DW	2	A3GUJ6JD25FX7O	4	A16FY9L7QTDNRW	4
1264478693411491842	A5BMA5POGL8DW	2	A3GUJ6JD25FX7O	4	A16FY9L7QTDNRW	1
1235269680912314368	AYJGJAIY0EXW	4	AM2W23THD4CI7	4	A16FY9L7QTDNRW	4
1264484383572049920	AYJGJAIY0EXW	2	AM2W23THD4CI7	2	A16FY9L7QTDNRW	1
1196544779691134977	AYJGJAIY0EXW	4	AM2W23THD4CI7	2	A16FY9L7QTDNRW	1
1162327716302970881	A3P7M9666KJCP	1	AM2W23THD4CI7	1	A16FY9L7QTDNRW	2
1245410906101690368	A3P7M9666KJCP	4	AM2W23THD4CI7	2	A16FY9L7QTDNRW	2
1197894543401725953	A3P7M9666KJCP	3	AM2W23THD4CI7	3	A16FY9L7QTDNRW	2
1263732812114538501	A3GUJ6JD25FX7O	2	A3GUJ6JD25FX7O	2	AYJGJAIY0EXW	2
1241122089274400769	A3GUJ6JD25FX7O	1	A3GUJ6JD25FX7O	1	AYJGJAIY0EXW	4
1197279241701875712	A3GUJ6JD25FX7O	1	A3GUJ6JD25FX7O	1	AYJGJAIY0EXW	1
1245393943254175744	A16FY9L7QTDNRW	4	AM2W23THD4CI7	4	AYJGJAIY0EXW	4
1196324046608183296	A16FY9L7QTDNRW	1	AM2W23THD4CI7	1	AYJGJAIY0EXW	1
1197889825577287681	A16FY9L7QTDNRW	4	AM2W23THD4CI7	4	AYJGJAIY0EXW	4
1196449467370803202	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	2	A5BMA5POGL8DW	2
1240906279423545344	A16FY9L7QTDNRW	4	A1CF6U3GF7DZEJ	4	A5BMA5POGL8DW	4
1263728763902193664	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	1	A5BMA5POGL8DW	2
1265912868739911680	A1CF6U3GF7DZEJ	4	A5BMA5POGL8DW	2	A2WNW8A4MOR7T7	4
1174635601590652928	A1CF6U3GF7DZEJ	1	A5BMA5POGL8DW	2	A2WNW8A4MOR7T7	2
1232073635613073408	A1CF6U3GF7DZEJ	1	A5BMA5POGL8DW	1	A2WNW8A4MOR7T7	1
1197578458844540928	AYJGJAIY0EXW	4	A1CF6U3GF7DZEJ	4	A16FY9L7QTDNRW	2
1241099604223045632	AYJGJAIY0EXW	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	1
1235126686401822723	AYJGJAIY0EXW	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	1
1197643045564567554	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	2	A1Y3PSVSU557SW	4
1263795719137382400	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	2	A1Y3PSVSU557SW	1
1197165607608897536	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4	A1Y3PSVSU557SW	4
1197676428940197888	A5BMA5POGL8DW	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	1
1264568644329074690	A5BMA5POGL8DW	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	4
1196329670129672192	A5BMA5POGL8DW	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	2
1155549796913913856	A5BMA5POGL8DW	4	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4
1264546639559249920	A5BMA5POGL8DW	4	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4
1240869882922782721	A5BMA5POGL8DW	2	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	3
1197230425720152064	AWIPMIAD5U5MP	4	A2460MAJX0NA82	3	A39ZQZ2T5Z7JSB	3
1231901007686389763	AWIPMIAD5U5MP	4	A2460MAJX0NA82	1	A39ZQZ2T5Z7JSB	4
1232057080233779205	AWIPMIAD5U5MP	1	A2460MAJX0NA82	1	A39ZQZ2T5Z7JSB	1
1231344323624677377	A16FY9L7QTDNRW	4	AYJGJAIY0EXW	4	A16FY9L7QTDNRW	4
1265964678825627648	A16FY9L7QTDNRW	2	AYJGJAIY0EXW	1	A16FY9L7QTDNRW	4
1273517120639373314	A16FY9L7QTDNRW	2	AYJGJAIY0EXW	4	A16FY9L7QTDNRW	4
1273295710931353600	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4	A5BMA5POGL8DW	2
1245609299876831232	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	1	A5BMA5POGL8DW	1
1197187513913360390	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	1	A5BMA5POGL8DW	4
1197877769390166016	A3GUJ6JD25FX7O	1	A1CF6U3GF7DZEJ	2	A16FY9L7QTDNRW	2
1196534482926473217	A3GUJ6JD25FX7O	1	A1CF6U3GF7DZEJ	4	A16FY9L7QTDNRW	2
1232042459988987906	A3GUJ6JD25FX7O	1	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	4
1174571879690100736	A16FY9L7QTDNRW	1	A3GUJ6JD25FX7O	1	A3PYZV7CGJRYFO	1
1204343807132614656	A16FY9L7QTDNRW	4	A3GUJ6JD25FX7O	4	A3PYZV7CGJRYFO	4
1155240420546424832	A16FY9L7QTDNRW	2	A3GUJ6JD25FX7O	2	A3PYZV7CGJRYFO	2
1202239264777494529	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4
1155538949785444352	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	2
1235153605184892928	A16FY9L7QTDNRW	1	A16FY9L7QTDNRW	3	A16FY9L7QTDNRW	3
1235224442948771843	A3P7M9666KJCP	2	A16FY9L7QTDNRW	2	A5BMA5POGL8DW	2
1197772436730777604	A3P7M9666KJCP	2	A16FY9L7QTDNRW	1	A5BMA5POGL8DW	2
1197230712971309056	A3P7M9666KJCP	2	A16FY9L7QTDNRW	2	A5BMA5POGL8DW	2
1162438089467473924	A3GUJ6JD25FX7O	1	AM2W23THD4CI7	1	A3GUJ6JD25FX7O	1
1204461768816373763	A3GUJ6JD25FX7O	2	AM2W23THD4CI7	2	A3GUJ6JD25FX7O	1
1162306183534981120	A3GUJ6JD25FX7O	3	AM2W23THD4CI7	4	A3GUJ6JD25FX7O	1
1240978900055986176	A16FY9L7QTDNRW	2	A5BMA5POGL8DW	2	A3P7M9666KJCP	2
1235108096055234565	A16FY9L7QTDNRW	1	A5BMA5POGL8DW	1	A3P7M9666KJCP	1
1202223334223536128	A16FY9L7QTDNRW	1	A5BMA5POGL8DW	1	A3P7M9666KJCP	1
1245444706496122880	A16FY9L7QTDNRW	2	A5BMA5POGL8DW	2	A1Y3PSVSU557SW	1
1184570372240367620	A16FY9L7QTDNRW	2	A5BMA5POGL8DW	1	A1Y3PSVSU557SW	4
1197219116043702272	A16FY9L7QTDNRW	4	A5BMA5POGL8DW	2	A1Y3PSVSU557SW	4
1204295979937280000	AYJGJAIY0EXW	2	AWIPMIAD5U5MP	4	A16FY9L7QTDNRW	2
1155546263955419137	AYJGJAIY0EXW	1	AWIPMIAD5U5MP	1	A16FY9L7QTDNRW	1
1235266006160990208	AYJGJAIY0EXW	3	AWIPMIAD5U5MP	4	A16FY9L7QTDNRW	3
