id_str	WorkerID_1	Label1	WorkerID_2	Label2	WorkerID_3	Label3	
1174631421308211200	A1Y3PSVSU557SW	4	A681XM15AN28F	1	AXQWKUJF7SQXP	3	
1162253308028866560	A1Y3PSVSU557SW	4	A681XM15AN28F	2	AXQWKUJF7SQXP	1	
1204350092490280960	A16FY9L7QTDNRW	2	A3CFNUD7VR2E1E	4	A5BMA5POGL8DW	4	
1197819610604675072	A16FY9L7QTDNRW	2	A3CFNUD7VR2E1E	1	A5BMA5POGL8DW	1	
1162230117747187715	A16FY9L7QTDNRW	2	A3CFNUD7VR2E1E	4	A5BMA5POGL8DW	4	
1155620740714156033	AXQWKUJF7SQXP	1	A3CFNUD7VR2E1E	1	A3TDUHEBFJ53NM	4	
1204280775744671744	AXQWKUJF7SQXP	1	A3CFNUD7VR2E1E	4	A3TDUHEBFJ53NM	2	
1197580573855891456	AXQWKUJF7SQXP	1	A3CFNUD7VR2E1E	4	A3TDUHEBFJ53NM	4	
1155543855263096832	AE03LUY7RH400	2	A681XM15AN28F	2	A681XM15AN28F	2	
1197466510442352641	AE03LUY7RH400	4	A681XM15AN28F	4	A681XM15AN28F	2	
1204336196656254976	AE03LUY7RH400	3	A681XM15AN28F	3	A681XM15AN28F	3	
1264541855619919872	A681XM15AN28F	1	A1CF6U3GF7DZEJ	4	AE03LUY7RH400	1	
1263772348412502017	A681XM15AN28F	2	A1CF6U3GF7DZEJ	2	AE03LUY7RH400	4	
1273285301033730048	A681XM15AN28F	1	A1CF6U3GF7DZEJ	4	AE03LUY7RH400	3	
1241219248376217600	A681XM15AN28F	2	A5BMA5POGL8DW	2	A1CF6U3GF7DZEJ	2	
1201988172676288517	A681XM15AN28F	1	A5BMA5POGL8DW	1	A1CF6U3GF7DZEJ	1	
1241023802504548353	A681XM15AN28F	1	A5BMA5POGL8DW	2	A1CF6U3GF7DZEJ	1	
1162212143543934976	AXQWKUJF7SQXP	2	AXQWKUJF7SQXP	2	AE03LUY7RH400	2	
1174453015337734144	AXQWKUJF7SQXP	2	AXQWKUJF7SQXP	1	AE03LUY7RH400	4	
1197557073829093377	AXQWKUJF7SQXP	5	AXQWKUJF7SQXP	1	AE03LUY7RH400	2	
1197355724201967616	A1Y3PSVSU557SW	1	A681XM15AN28F	2	AE03LUY7RH400	2	
1184518107265671168	A1Y3PSVSU557SW	4	A681XM15AN28F	3	AE03LUY7RH400	4	
1197515727974080512	A1Y3PSVSU557SW	1	A681XM15AN28F	1	AE03LUY7RH400	4	
1155424195091845121	A1Y3PSVSU557SW	2	AE03LUY7RH400	1	A16FY9L7QTDNRW	2	
1155401502208512000	A1Y3PSVSU557SW	1	AE03LUY7RH400	3	A16FY9L7QTDNRW	2	
1273533823658135553	A1Y3PSVSU557SW	4	AE03LUY7RH400	3	A16FY9L7QTDNRW	2	
1235093321254494208	AXQWKUJF7SQXP	4	AE03LUY7RH400	2	AYJGJAIY0EXW	2	
1234989328041791489	AXQWKUJF7SQXP	2	AE03LUY7RH400	4	AYJGJAIY0EXW	2	
1245571522904780804	AXQWKUJF7SQXP	4	AE03LUY7RH400	4	AYJGJAIY0EXW	1	
1265863679318392832	A1Y3PSVSU557SW	1	A5BMA5POGL8DW	1	AE03LUY7RH400	2	
1235051424997875712	A1Y3PSVSU557SW	1	A5BMA5POGL8DW	2	AE03LUY7RH400	1	
1202045530962104325	A1Y3PSVSU557SW	1	A5BMA5POGL8DW	1	AE03LUY7RH400	3	
1196538864476839936	AE03LUY7RH400	4	A1CF6U3GF7DZEJ	4	A3GNQDFPZALU92	4	
1197235073193566208	AE03LUY7RH400	4	A1CF6U3GF7DZEJ	4	A3GNQDFPZALU92	4	
1155249828215054342	AE03LUY7RH400	4	A1CF6U3GF7DZEJ	2	A3GNQDFPZALU92	2	
1232028230204284928	A681XM15AN28F	1	A681XM15AN28F	2	A3GUJ6JD25FX7O	2	
1162475350250655746	A681XM15AN28F	1	A681XM15AN28F	1	A3GUJ6JD25FX7O	1	
1264539050368696320	A681XM15AN28F	3	A681XM15AN28F	2	A3GUJ6JD25FX7O	1	
1197003702114107392	AXQWKUJF7SQXP	2	A5BMA5POGL8DW	1	AE03LUY7RH400	3	
1197532342451146753	AXQWKUJF7SQXP	3	A5BMA5POGL8DW	4	AE03LUY7RH400	4	
1155209039510421511	AXQWKUJF7SQXP	1	A5BMA5POGL8DW	4	AE03LUY7RH400	3	
1204271072268423169	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	1	AXQWKUJF7SQXP	2	
1232068516565659653	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	4	AXQWKUJF7SQXP	1	
1155451397971828741	A16FY9L7QTDNRW	1	A1CF6U3GF7DZEJ	1	AXQWKUJF7SQXP	2	
1197140854298882048	AE03LUY7RH400	2	A681XM15AN28F	3	A5BMA5POGL8DW	2	
1245441238540615681	AE03LUY7RH400	4	A681XM15AN28F	1	A5BMA5POGL8DW	4	
1264461947338215424	AE03LUY7RH400	1	A681XM15AN28F	2	A5BMA5POGL8DW	2	
1265832316275961857	AXQWKUJF7SQXP	1	AE03LUY7RH400	2	A1CF6U3GF7DZEJ	1	
1232069558942474249	AXQWKUJF7SQXP	4	AE03LUY7RH400	2	A1CF6U3GF7DZEJ	1	
1273429685842644992	AXQWKUJF7SQXP	2	AE03LUY7RH400	4	A1CF6U3GF7DZEJ	2	
1184507778141958144	A5BMA5POGL8DW	4	AE03LUY7RH400	4	A1CF6U3GF7DZEJ	4	
1265887935041286147	A5BMA5POGL8DW	1	AE03LUY7RH400	2	A1CF6U3GF7DZEJ	1	
1162465097945669633	A5BMA5POGL8DW	4	AE03LUY7RH400	3	A1CF6U3GF7DZEJ	2	
1263630276154048513	AE03LUY7RH400	2	A681XM15AN28F	4	A1CF6U3GF7DZEJ	4	
1204332570193879041	AE03LUY7RH400	2	A681XM15AN28F	3	A1CF6U3GF7DZEJ	1	
1197807194097491968	AE03LUY7RH400	2	A681XM15AN28F	3	A1CF6U3GF7DZEJ	1	
1245428798927101955	AE03LUY7RH400	1	AE03LUY7RH400	1	A681XM15AN28F	3	
1155492935045193728	AE03LUY7RH400	2	AE03LUY7RH400	1	A681XM15AN28F	1	
1174655574962843648	AE03LUY7RH400	4	AE03LUY7RH400	3	A681XM15AN28F	3	
1231869036356677633	A681XM15AN28F	3	A681XM15AN28F	2	A681XM15AN28F	4	
1240918543304216576	A681XM15AN28F	1	A681XM15AN28F	3	A681XM15AN28F	3	
1197288249288470528	A681XM15AN28F	3	A681XM15AN28F	1	A681XM15AN28F	3	
1197214376568246274	AE03LUY7RH400	2	A681XM15AN28F	3	AE03LUY7RH400	4	
1204334014443794432	AE03LUY7RH400	1	A681XM15AN28F	1	AE03LUY7RH400	2	
1174581645514608640	AE03LUY7RH400	2	A681XM15AN28F	2	AE03LUY7RH400	2	
1204377513872506880	A1Y3PSVSU557SW	4	A681XM15AN28F	2	A1CF6U3GF7DZEJ	4	
1162331981482516481	A1Y3PSVSU557SW	1	A681XM15AN28F	1	A1CF6U3GF7DZEJ	1	
1197490970432020480	A1Y3PSVSU557SW	1	A681XM15AN28F	3	A1CF6U3GF7DZEJ	1	
1174493079241461762	A5BMA5POGL8DW	2	AE03LUY7RH400	4	AXQWKUJF7SQXP	3	
1196475813824270336	A5BMA5POGL8DW	2	AE03LUY7RH400	4	AXQWKUJF7SQXP	3	
